dataset,var.names,var.labels,title,description,family,references
standard,country_name,"Standardized country name. This is the same across all datasets in this package, so you can always join them by country_name and year.",NA,NA,NA,NA
standard,year,Year.,NA,NA,NA,NA
all_elections,types,Election type.,A list of all elections in both the NELDA and the PIPE datasets.,A list of all elections in both the NELDA and the PIPE datasets. See the documentation for PIPE and NELDA for more detail.,elections,"Susan D. Hyde and Nikolay Marinov, 2012, Which Elections Can Be Lost?, Political Analysis, 20(2), 191-201"
all_elections,num_elections,Number of elections in year. ,NA,NA,NA,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
all_elections,source,Source (NELDA or PIPE). ,NA,NA,NA,NA
standard,GWn,Gleditsch-Ward numeric country code. See Gleditsch and Ward (1999).,NA,NA,NA,NA
all_gwf,gwf_full_regimetype,"Regime type. Includes ""democracy"" and ""no-authority"" conditions (foreign occupation, warlordism, etc.). ","Selection from the Geddes, Wright, and Frantz Autocratic Regimes dataset","A selection of variables from the dataset described in Barbara Geddes, Joseph Wright, and Erica Frantz. 2014. ""Autocratic Breakdown and Regime Transitions: A New Data Set."" Perspectives on Politics 12(2): 313-331. The full data and codebook can be downloaded here http://sites.psu.edu/dictators/. The documentation below is derived from the codebook. ",regime types,"Geddes, Barbara, Joseph Wright, and Erica Frantz (2014). ""Autocratic Breakdown and Regime Transitions: A New Data Set."" Perspectives on Politics 12 (1): 313-31. doi:10.1017/S1537592714000851."
all_gwf,gwf_casename,Autocratic regime case name (country name and years); these are the units of observation for duration analysis. ,NA,NA,regime characteristics,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
all_gwf,gwf_country,Country name in the original dataset.,NA,NA,NA,NA
standard,GWc,Gleditsch-Ward numeric country code. See Gleditsch and Ward (1999).,NA,NA,NA,NA
standard,cown,"Correlates of War numeric country code. Differs from GWn for a few country-years. See Gleditsch and Ward (1999).",NA,NA,NA,NA
standard,polity_ccode,"Country code in Polity datasets. Differs from GWn for a few country-years. See Gleditsch and Ward (1999).",NA,NA,NA,NA
standard,region,Region. ,NA,NA,NA,NA
standard,continent,Continent.,NA,NA,NA,NA
standard,GW_startdate,"Date at which the state entered the system of states according to Gleditsch and Ward, or NA if it has never been a member.",NA,NA,NA,NA
standard,GW_enddate,"Date at which the state ceased to be a member of the system of states according to Gleditsch and Ward,  or NA if it still exists.",NA,NA,NA,NA
standard,microstate,"Indicator of whether the state is a microstate, according to Gleditsch's list of microstates. ",NA,NA,NA,NA
standard,lat,Latitude.,NA,NA,NA,NA
standard,lon,Longitude.,NA,NA,NA,NA
standard,in_cow,Whether the country-year is in the Correlates of War system of states.,NA,NA,NA,NA
standard,in_system,Whether the country-year is in the Gleditsch-Ward system of states. See Gleditsch and Ward (1999).,NA,NA,NA,NA
all_gwf_extended_yearly,gwf_full_regimetype,"Regime type. Includes ""democracy"" and ""no-authority"" conditions (foreign occupation, warlordism, etc.). ","Selection from the Geddes, Wright, and Frantz Autocratic Regimes dataset","A selection of variables from the dataset described in Barbara Geddes, Joseph Wright, and Erica Frantz. 2014. ""Autocratic Breakdown and Regime Transitions: A New Data Set."" Perspectives on Politics 12(2): 313-331. The full data and codebook can be downloaded here http://sites.psu.edu/dictators/. The documentation below is derived from the codebook.This is the ""extended"" version (extended by Xavier Marquez back before 1945 with info from the case descriptions).",regime types,"Geddes, Barbara, Joseph Wright, and Erica Frantz (2014). ""Autocratic Breakdown and Regime Transitions: A New Data Set."" Perspectives on Politics 12 (1): 313-31. doi:10.1017/S1537592714000851."
all_gwf_extended_yearly,gwf_casename,Autocratic regime case name (country name and years); these are the units of observation for duration analysis. ,NA,NA,regime characteristics,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
all_gwf_extended_yearly,gwf_startdate,Start date for the regime.,NA,NA,democracy,NA
all_gwf_extended_yearly,gwf_enddate,End date for the regime.,NA,NA,NA,NA
all_gwf_extended_yearly,gwf_country,Country name in the original dataset.,NA,NA,NA,NA
all_gwf_periods,gwf_casename,Autocratic regime case name (country name and years); these are the units of observation for duration analysis. ,"Selection from the Geddes, Wright, and Frantz Autocratic Regimes dataset","A selection of variables from the dataset described in Barbara Geddes, Joseph Wright, and Erica Frantz. 2014. ""Autocratic Breakdown and Regime Transitions: A New Data Set."" Perspectives on Politics 12(2): 313-331. The full data and codebook can be downloaded here http://sites.psu.edu/dictators/. The documentation below is derived from the codebook. ",regime types,"Geddes, Barbara, Joseph Wright, and Erica Frantz (2014). ""Autocratic Breakdown and Regime Transitions: A New Data Set."" Perspectives on Politics 12 (1): 313-31. doi:10.1017/S1537592714000851."
all_gwf_periods,gwf_full_regimetype,"Regime type. Includes ""democracy"" and ""no-authority"" conditions (foreign occupation, warlordism, etc.). ",NA,NA,regime characteristics,NA
all_gwf_periods,gwf_startdate,Start date for the regime.,NA,NA,NA,NA
all_gwf_periods,gwf_enddate,End date for the regime.,NA,NA,NA,NA
all_gwf_periods,gwf_howend,How did the regime end? ,NA,NA,NA,NA
all_gwf_periods,gwf_violent,Extent of violence in the event leading to the end of the regime. ,NA,NA,NA,NA
all_gwf_periods,gwf_country,Country name in the original dataset.,NA,NA,NA,NA
all_war_participants_yearly,warid,War ID.,List of War Participants by Gleditsch.,"List of War Participants by Gleditsch, extended until 2004. Described fully in Gleditsch, Kristian. 2004. ""A Revised List of Wars Between and Within Independent States, 1816-2002."" International Interactions 30 (3): 231-62. http://privatewww.essex.ac.uk/~ksg/expwar.html.",NA,"Gleditsch, Kristian. 2004. ""A Revised List of Wars Between and Within Independent States, 1816-2002."" International Interactions 30 (3): 231-62. http://privatewww.essex.ac.uk/~ksg/expwar.html."
all_war_participants_yearly,sdate,Start date of the war.,NA,NA,NA,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
all_war_participants_yearly,edate,End date of the war.,NA,NA,NA,NA
all_war_participants_yearly,warname,Name of the war.,NA,NA,NA,NA
all_war_participants_yearly,newcow,newcow,NA,NA,NA,NA
all_war_participants_yearly,cow94,cow94,NA,NA,NA,NA
all_war_participants_yearly,cow00,cow00,NA,NA,NA,NA
all_war_participants_yearly,oldwid,Old war ID.,NA,NA,NA,NA
all_war_participants_yearly,deaths,Estimated number of deaths.,NA,NA,NA,NA
all_war_participants_yearly,intnl,"Whether the war is internationalized (applies only to ""intrstate"" or ""civil"" wars). 0 = no, 1 = yes.",NA,NA,NA,NA
all_war_participants_yearly,outcome,"Outcome of war: 1 = on winning side, 2 = on losing side,  3 = compromise/tie, 4 = war transformed into another type, 5 = ongoing at end of period, 6 = stalemate, 7 = conflict continues below war level, 8 = party changed sides.",NA,NA,NA,NA
all_war_participants_yearly,outcome_chr,Character version of outcome.,NA,NA,NA,NA
all_war_participants_yearly,intnl_chr,Character version of intnl.,NA,NA,NA,NA
all_war_participants_yearly,type,War type: civil (intrastate) or interstate.,NA,NA,NA,NA
all_war_participants_yearly,side,Which side of the war was this state on?,NA,NA,NA,NA
all_war_participants_yearly,initiate,"Did this country initiate the war? 1 = initiated war, 2 = did not initiate war.",NA,NA,NA,NA
all_war_participants_yearly,initiate_chr,Character version of initiate.,NA,NA,NA,NA
archigos,leader,Leader name.,"The Archigos dataset of political regimes, v. 4.1","The ARCHIGOS dataset of political leaders, v. 4.1. Described in Henk E. Goemans, Kristian Skrede Gleditsch, and Giacomo Chiozza. "".Introducing Archigos: A Dataset of Political Leaders."" Journal of Peace Research March 2009 vol. 46 no. 2 269-283. Original data and codebook available for download here: http://www.rochester.edu/college/faculty/hgoemans/data.htm",leader,"Goemans, Henk, Kristian Gleditsch, and Giacomo Chiozza (2009).""Introducing Archigos: A Dataset of Political Leaders."" Journal of Peace Research 46 (2): 269-83."
archigos,obsid,Observation ID.,NA,NA,NA,"Gleditsch, Kristian S. & Michael D. Ward. 1999. ""Interstate System Membership: A Revised List of the Independent States since 1816."" International Interactions 25: 393-413. The list can be found at http://privatewww.essex.ac.uk/~ksg/statelist.html"
archigos,leadid,Leader ID.,NA,NA,NA,NA
archigos,startdate,Date at which leader entered office.,NA,NA,NA,NA
archigos,enddate,Date at which leader left office.,NA,NA,NA,NA
archigos,entry,Mode of entry.,NA,NA,NA,NA
archigos,exit,Mode of exit.,NA,NA,NA,NA
archigos,exitcode,More detailed mode of exit.,NA,NA,NA,NA
archigos,prevtimesinoffice,Number of previous times in office.,NA,NA,NA,NA
archigos,posttenurefate,Fate after office.,NA,NA,NA,NA
archigos,gender,Gender.,NA,NA,NA,NA
archigos,yrborn,"Year of birth, if known.",NA,NA,NA,NA
archigos,yrdied,"Year of death, if known.",NA,NA,NA,NA
archigos,borndate,"Date of birth, if known.",NA,NA,NA,NA
archigos,deathdate,"Date of death, if known.",NA,NA,NA,NA
democracy,arat_pmm,"Democracy score Arat (1991). Taken from Pemstein, Meserve, and Melton (2013) replication data. ",All Democracy Scores Dataset,A dataset containing  nearly all extant democracy indexes. See the package \\link{QuickUDS} for further documentation.,democracy,"Arat, Zehra F. 1991. Democracy and human rights in developing countries. Boulder: Lynne Rienner Publishers. "
democracy,blm,"Trichotomous measure of regime type from Bowman, Lehoucq, and Mahoney (2005). 0 = authoritarian, 0.5 = semidemocratic, 1 = democratic. Available only for five Latin American countries (Costa Rica, El Salvador, Guatemala, Honduras and Nicaragua) from 1900 to 2000.",NA,NA,NA,"Bowman, Kirk, Fabrice Lehoucq, and James Mahoney. 2005. Measuring Political Democracy: Case Expertise, Data Adequacy, and Central America. Comparative Political Studies 38 (8): 939-970.http://cps.sagepub.com/content/38/8/939. Data available athttp://www.blmdemocracy.gatech.edu/. "
democracy,blm_pmm,"Same as previous but taken from Pemstein, Meserve, and Melton (2013). 0 = authoritarian, 0.5 = semidemocratic, 1 = democratic. Available only for five Latin American countries (Costa Rica, El Salvador, Guatemala, Honduras and Nicaragua) from 1946 to 2000 in this version.",NA,NA,NA,"Pemstein, Daniel, Stephen A. Meserve, and James Melton. 2013. ""Replication data for: Democratic Compromise: A Latent Variable Analysis of Ten Measures of Regime Type."" In: Harvard Dataverse. http://hdl.handle.net/1902.1/PMM. "
democracy,bmr_democracy,"Dichotomous measure of regime type from Boix, Miller, and Rosato (2012). ",NA,NA,NA,"Boix, Carles, Michael Miller, and Sebastian Rosato. 2012. A Complete Data Set of Political Regimes, 1800-2007. Comparative Political Studies 46 (12): 1523-1554. Original data available athttps://sites.google.com/site/mkmtwo/democracy-v2.0.dta?attredirects=0."
